Category: All categories

Week,soil science: (Worldwide)
2016-05-01,68
2016-05-08,61
2016-05-15,56
2016-05-22,72
2016-05-29,53
2016-06-05,52
2016-06-12,53
2016-06-19,46
2016-06-26,65
2016-07-03,47
2016-07-10,46
2016-07-17,47
2016-07-24,51
2016-07-31,47
2016-08-07,64
2016-08-14,50
2016-08-21,38
2016-08-28,57
2016-09-04,64
2016-09-11,66
2016-09-18,70
2016-09-25,66
2016-10-02,62
2016-10-09,77
2016-10-16,48
2016-10-23,73
2016-10-30,73
2016-11-06,57
2016-11-13,80
2016-11-20,51
2016-11-27,99
2016-12-04,70
2016-12-11,59
2016-12-18,38
2016-12-25,29
2017-01-01,60
2017-01-08,62
2017-01-15,74
2017-01-22,73
2017-01-29,80
2017-02-05,58
2017-02-12,66
2017-02-19,65
2017-02-26,84
2017-03-05,79
2017-03-12,68
2017-03-19,68
2017-03-26,55
2017-04-02,70
2017-04-09,54
2017-04-16,69
2017-04-23,50
2017-04-30,73
2017-05-07,52
2017-05-14,70
2017-05-21,42
2017-05-28,35
2017-06-04,37
2017-06-11,53
2017-06-18,63
2017-06-25,44
2017-07-02,44
2017-07-09,54
2017-07-16,42
2017-07-23,54
2017-07-30,54
2017-08-06,35
2017-08-13,58
2017-08-20,64
2017-08-27,56
2017-09-03,61
2017-09-10,56
2017-09-17,69
2017-09-24,73
2017-10-01,72
2017-10-08,63
2017-10-15,59
2017-10-22,66
2017-10-29,95
2017-11-05,88
2017-11-12,89
2017-11-19,55
2017-11-26,80
2017-12-03,89
2017-12-10,73
2017-12-17,46
2017-12-24,42
2017-12-31,47
2018-01-07,71
2018-01-14,87
2018-01-21,68
2018-01-28,71
2018-02-04,75
2018-02-11,60
2018-02-18,58
2018-02-25,76
2018-03-04,66
2018-03-11,85
2018-03-18,68
2018-03-25,76
2018-04-01,50
2018-04-08,62
2018-04-15,54
2018-04-22,70
2018-04-29,65
2018-05-06,58
2018-05-13,68
2018-05-20,56
2018-05-27,67
2018-06-03,36
2018-06-10,50
2018-06-17,49
2018-06-24,48
2018-07-01,40
2018-07-08,37
2018-07-15,40
2018-07-22,62
2018-07-29,54
2018-08-05,54
2018-08-12,54
2018-08-19,65
2018-08-26,55
2018-09-02,68
2018-09-09,82
2018-09-16,61
2018-09-23,74
2018-09-30,78
2018-10-07,54
2018-10-14,67
2018-10-21,67
2018-10-28,56
2018-11-04,45
2018-11-11,54
2018-11-18,62
2018-11-25,59
2018-12-02,88
2018-12-09,75
2018-12-16,48
2018-12-23,34
2018-12-30,38
2019-01-06,70
2019-01-13,61
2019-01-20,64
2019-01-27,53
2019-02-03,65
2019-02-10,74
2019-02-17,74
2019-02-24,82
2019-03-03,59
2019-03-10,78
2019-03-17,54
2019-03-24,58
2019-03-31,70
2019-04-07,65
2019-04-14,70
2019-04-21,47
2019-04-28,63
2019-05-05,55
2019-05-12,62
2019-05-19,34
2019-05-26,44
2019-06-02,66
2019-06-09,41
2019-06-16,60
2019-06-23,45
2019-06-30,42
2019-07-07,44
2019-07-14,53
2019-07-21,51
2019-07-28,45
2019-08-04,55
2019-08-11,51
2019-08-18,43
2019-08-25,62
2019-09-01,54
2019-09-08,71
2019-09-15,67
2019-09-22,92
2019-09-29,66
2019-10-06,65
2019-10-13,69
2019-10-20,86
2019-10-27,64
2019-11-03,70
2019-11-10,78
2019-11-17,75
2019-11-24,63
2019-12-01,66
2019-12-08,77
2019-12-15,70
2019-12-22,34
2019-12-29,58
2020-01-05,80
2020-01-12,58
2020-01-19,70
2020-01-26,73
2020-02-02,68
2020-02-09,94
2020-02-16,73
2020-02-23,59
2020-03-01,74
2020-03-08,78
2020-03-15,48
2020-03-22,60
2020-03-29,59
2020-04-05,55
2020-04-12,61
2020-04-19,70
2020-04-26,57
2020-05-03,49
2020-05-10,69
2020-05-17,67
2020-05-24,59
2020-05-31,60
2020-06-07,37
2020-06-14,44
2020-06-21,46
2020-06-28,44
2020-07-05,53
2020-07-12,50
2020-07-19,55
2020-07-26,47
2020-08-02,36
2020-08-09,32
2020-08-16,68
2020-08-23,80
2020-08-30,87
2020-09-06,92
2020-09-13,80
2020-09-20,88
2020-09-27,86
2020-10-04,100
2020-10-11,86
2020-10-18,59
2020-10-25,72
2020-11-01,52
2020-11-08,94
2020-11-15,72
2020-11-22,80
2020-11-29,80
2020-12-06,76
2020-12-13,76
2020-12-20,55
2020-12-27,35
2021-01-03,72
2021-01-10,58
2021-01-17,61
2021-01-24,79
2021-01-31,77
2021-02-07,69
2021-02-14,66
2021-02-21,78
2021-02-28,85
2021-03-07,65
2021-03-14,71
2021-03-21,74
2021-03-28,74
2021-04-04,62
2021-04-11,55
2021-04-18,75
2021-04-25,65
